7zip,p7zip-full
amberol,
avvie,
baobab,baobab
bash,bash
blender,blender
bottles,
btop,btop
cabextract,cabextract
calibre,calibre
clang-format,clang-format
cowsay,cowsay
curl,curl
czkawka,
discord,
dkms,dkms
easyeffects,easyeffects
easytag,easytag
elisa,elisa
exa,exa
extension-manager,
eyedropper,
fd-find,fd-find
ffmpeg,ffmpeg
ffmpegthumbnailer,ffmpegthumbnailer
filelight,filelight
firefox,firefox
flatseal,
foliate,foliate
fzf,fzf
gimp,gimp
gnome-builder,gnome-builder
gnome-extension-manager,
gnome-tweaks,gnome-tweaks
godot,godot
handbrake,
htop,htop
identity,
imagemagick,imagemagick
inkscape,inkscape
jq,jq
kdenlive,kdenlive
krita,krita
libreoffice,libreoffice
logisim-evolution,
lollypop,lollypop
mpd,mpd
mpv,mpv
ncdu,ncdu
ncmpcpp,ncmpcpp
neovim,neovim
netcat,netcat
nvtop,nvtop
obsidian,
obs-studio,
openssl,openssl
pdfarranger,pdfarranger
perl,perl
pkg-config,pkg-config
prism-launcher,
python3-pip,python3-pip
python3,python3 python-is-python3
qbittorrent,qbittorrent
radeontop,radeontop
ripgrep,ripgrep
rnote,
ryujinx,
shellcheck,shellcheck
spotify,
steam-devices,steam-devices
steam,steam
thunderbird,thunderbird
tmux,tmux
trash-cli,trash-cli
unzip,unzip
util-linux,util-linux
valgrind,valgrind
videotrimmer,
vlc,vlc
webp-pixbuf-loader,webp-pixbuf-loader
wget,wget
x264,x264 libx264 libx264-dev
xournalpp,xournalpp
yuzu,
zsh,zsh
